"Location","Date","Depth","Elevation","Density","RD"
"PRINCE GEORGE AIRPORT",2010-03-30,0,684,NA,"Fraser-Fort George"
"PENFOLD CREEK",2010-03-30,222,1687,39,"Cowichan Valley"
"DUFFEY LAKE",2010-03-30,138,1253,37,"Squamish-Lillooet"
"ENDERBY",2010-03-30,245,1948,38,"North Okanagan"
"KIMBERLEY (UPPER) VOR",2010-03-30,113,2148,30,"Central Kootenay"
"KIMBERLEY (MIDDLE) VOR",2010-03-30,51,1692,23,"Central Kootenay"
"GRAY CREEK (LOWER)",2010-03-30,107,1558,31,"Central Kootenay"
"GRAY CREEK (UPPER)",2010-03-30,181,1926,32,"Central Kootenay"
"CALLAGHAN CREEK",2010-03-30,239,1009,36,"Squamish-Lillooet"
"WARE (UPPER)",2010-03-30,86,1563,25,"Peace River"
"WARE (LOWER)",2010-03-30,64,969,26,"Peace River"
"LADY LAURIER LAKE",2010-03-30,157,1446,32,"Peace River"
"PULPIT LAKE",2010-03-30,133,1331,29,"Peace River"
"MOUNT STEARNS",2010-03-30,60,1514,23,"Peace River"
"CHAPMAN LAKE",2010-03-30,119,1485,34,"Sunshine Coast"
"MCKENDRICK CREEK",2010-03-30,69,1048,31,"Bulkley-Nechako"
"SIKANNI LAKE",2010-03-30,90,1390,24,"Peace River"
"GNAWED MOUNTAIN",2010-03-31,60,1617,22,"Thompson-Nicola"
"COQUITLAM LAKE",2010-03-31,259,300,40,"Greater Vancouver"
"POSTILL LAKE",2010-03-31,52,1358,30,"Central Okanagan"
"WHITEROCKS MOUNTAIN",2010-03-31,153,1789,32,"Central Okanagan"
"LOST HORSE MOUNTAIN",2010-03-31,57,1988,34,"Okanagan-Similkameen"
"MONASHEE PASS",2010-04-01,71,1387,31,"North Okanagan"
"BLUEJOINT MOUNTAIN",2010-04-01,189,1990,36,"Kootenay Boundary"
"TAHTSA LAKE",2010-04-01,313,1319,39,"Bulkley-Nechako"
"LAC LE JEUNE (UPPER)",2010-04-01,53,1471,28,"Thompson-Nicola"
"BEAVERFOOT",2010-04-01,59,1924,25,"Columbia-Shuswap"
"WHATSHAN (UPPER)",2010-04-01,130,1476,37,"Central Kootenay"
"BARNES CREEK",2010-04-01,110,1598,31,"North Okanagan"
"KOCH CREEK",2010-04-01,193,1813,37,"Central Kootenay"
"ST. LEON CREEK",2010-04-01,247,1828,39,"Central Kootenay"
"RECORD MOUNTAIN",2010-04-01,185,1906,33,"Kootenay Boundary"
"FLOE LAKE",2010-04-01,194,2087,34,"East Kootenay"
"MOUNT ASSINIBOINE",2010-04-01,166,2230,28,"East Kootenay"
"MOUNT JOFFRE",2010-04-01,90,1763,27,"East Kootenay"
"THUNDER CREEK",2010-04-01,91,2062,25,"East Kootenay"
"GREYBACK RESERVOIR",2010-04-01,81,1548,28,"Okanagan-Similkameen"
"OYAMA LAKE",2010-04-01,45,1365,27,"Central Okanagan"
"POSTILL LAKE (UPPER)",2010-04-01,57,1500,30,"Central Okanagan"
"FORBIDDEN PLATEAU",2010-04-01,418,1110,42,"Comox Valley"
"UPPER THELWOOD LAKE",2010-04-01,356,1014,40,"Strathcona"
"WOLF RIVER (MIDDLE)",2010-04-01,215,1050,35,"Strathcona"
"SUMMIT LAKE",2010-04-01,79,1291,12,"Central Kootenay"
"GOLDSTREAM",2010-04-04,260,1914,39,"Capital"
"KEYSTONE CREEK",2010-04-04,211,1839,39,"Columbia-Shuswap"
"SUNBEAM LAKE",2010-04-04,229,2066,39,"Columbia-Shuswap"
"BUSH RIVER",2010-04-04,216,1982,38,"Columbia-Shuswap"
"KIRBYVILLE LAKE",2010-04-04,295,1739,39,"Columbia-Shuswap"
"DOWNIE SLIDE (UPPER)",2010-04-04,347,1628,40,"Columbia-Shuswap"
"DUNCAN LAKE NO. 2",2010-04-05,0,662,NA,"Bulkley-Nechako"
"POWELL RIVER (UPPER)",2010-04-25,275,1002,34,"Powell River"
"POWELL RIVER (LOWER)",2010-04-25,121,882,31,"Powell River"
"BEAVERFOOT",2010-04-26,20,1924,31,"Columbia-Shuswap"
"MOUNT TEMPLEMAN",2010-04-26,189,1879,45,"Central Kootenay"
"GROUSE MOUNTAIN",2010-04-26,234,1126,44,"Greater Vancouver"
"GRANITE MOUNTAIN",2010-04-27,0,1175,NA,"Kootenay Boundary"
"JOHANSON LAKE",2010-04-27,64,1480,28,"Kitimat-Stikine"
"BRALORNE (UPPER)",2010-04-29,182,1980,43,"Squamish-Lillooet"
"ANGLEMONT",2010-04-29,0,1168,NA,"Columbia-Shuswap"
"KIMBERLEY (UPPER) VOR",2010-04-29,104,2148,34,"Central Kootenay"
"WHATSHAN (LOWER)",2010-04-30,111,1250,39,"Central Kootenay"
"MOUNT CRONIN",2010-04-30,175,1491,34,"Bulkley-Nechako"
"ABERDEEN LAKE",2010-05-01,0,1262,NA,"North Okanagan"
"PALISADE LAKE",2010-05-05,238,898,49,"Greater Vancouver"
"DOG MOUNTAIN",2010-05-05,205,1007,48,"Greater Vancouver"
"ORCHID LAKE",2010-05-05,436,1178,44,"Greater Vancouver"
"STAVE LAKE",2010-05-06,367,1211,46,"Fraser Valley"
"WAHLEACH LAKE",2010-05-06,169,1395,37,"Fraser Valley"
"NAHATLATCH RIVER",2010-05-06,354,1530,49,"Fraser Valley"
"DICKSON LAKE",2010-05-06,328,1147,46,"Fraser Valley"
"ADAMS RIVER",2010-05-10,184,1769,43,"Columbia-Shuswap"
"TROPHY MOUNTAIN",2010-05-11,170,1907,39,"Thompson-Nicola"
"GRANITE MOUNTAIN",2010-12-28,30,1175,21,"Kootenay Boundary"
"WAHLEACH LAKE",2010-12-30,83,1395,29,"Fraser Valley"
"WOLF RIVER (LOWER)",2010-12-30,141,615,28,"Strathcona"
"KLESILKWA",2010-12-30,44,1134,25,"Fraser Valley"
"DEASE LAKE",2010-12-31,42,805,15,"Kitimat-Stikine"
"MCGILLIVRAY PASS",2011-01-03,93,1715,24,"Squamish-Lillooet"
"JADE CITY",2011-01-26,70,943,21,"Kitimat-Stikine"
"ORCHID LAKE",2011-01-27,303,1178,41,"Greater Vancouver"
"SHOVELNOSE MOUNTAIN",2011-01-30,64,1456,26,"Thompson-Nicola"
"KNOUFF LAKE",2011-01-31,46,1189,21,"Thompson-Nicola"
"MCGILLIVRAY PASS",2011-01-31,122,1715,29,"Squamish-Lillooet"
"DEASE LAKE",2011-01-31,56,805,17,"Kitimat-Stikine"
"STAVE LAKE",2011-02-01,243,1211,40,"Fraser Valley"
"GRAYSTOKE LAKE",2011-02-01,70,1818,27,"Central Okanagan"
"NINGUNSAW PASS",2011-02-03,104,647,27,"Kitimat-Stikine"
"CANOE RIVER",2011-02-23,67,866,22,"Fraser-Fort George"
"KNOUFF LAKE",2011-02-24,49,1189,22,"Thompson-Nicola"
"HANSARD",2011-02-24,102,622,27,"Fraser-Fort George"
"PRINCE GEORGE AIRPORT",2011-02-24,71,684,23,"Fraser-Fort George"
"NAZKO",2011-02-24,55,1029,23,"Cariboo"
"GRANITE MOUNTAIN",2011-02-24,80,1175,24,"Kootenay Boundary"
"BLUE RIVER",2011-02-24,118,673,29,"Thompson-Nicola"
"DOWNIE SLIDE (LOWER)",2011-02-24,205,964,33,"Columbia-Shuswap"
"PALISADE LAKE",2011-02-24,330,898,39,"Greater Vancouver"
"ORCHID LAKE",2011-02-24,459,1178,38,"Greater Vancouver"
"ELK RIVER",2011-02-24,51,270,32,"Central Kootenay"
"UPPER THELWOOD LAKE",2011-02-24,325,1014,37,"Strathcona"
"JADE CITY",2011-02-24,70,943,23,"Kitimat-Stikine"
"MCGILLIVRAY PASS",2011-02-25,149,1715,32,"Squamish-Lillooet"
"LU LAKE",2011-02-25,98,1296,26,"Bulkley-Nechako"
"BIG CREEK",2011-02-26,29,1130,21,"Cariboo"
"SHOVELNOSE MOUNTAIN",2011-02-26,85,1456,26,"Thompson-Nicola"
"NINGUNSAW PASS",2011-02-27,120,647,29,"Kitimat-Stikine"
"TELEGRAPH CREEK",2011-02-27,47,490,18,"Kitimat-Stikine"
"ISKUT",2011-02-27,63,931,16,"Kitimat-Stikine"
"ATLIN LAKE",2011-02-27,52,705,16,"Kitimat-Stikine"
"SKINS LAKE",2011-02-28,61,877,20,"Bulkley-Nechako"
"PAVILION",2011-02-28,39,1209,18,"Thompson-Nicola"
"PUNTZI MOUNTAIN",2011-02-28,47,939,19,"Cariboo"
"DEADMAN RIVER",2011-02-28,70,1463,31,"Thompson-Nicola"
"NELSON",2011-02-28,117,952,25,"Central Kootenay"
"MCCULLOCH",2011-02-28,72,1266,23,"Central Okanagan"
"MISSEZULA MOUNTAIN",2011-02-28,85,1602,24,"Okanagan-Similkameen"
"FORT ST. JOHN AIRPORT",2011-02-28,53,692,14,"Peace River"
"CARMI",2011-03-01,63,1254,18,"Kootenay Boundary"
"PACIFIC LAKE",2011-03-01,206,756,28,"Fraser-Fort George"
"BIRD CREEK",2011-03-01,72,1196,21,"Bulkley-Nechako"
"HORSEFLY MOUNTAIN",2011-03-01,170,1612,29,"Cariboo"
"FIELD",2011-03-01,78,1310,26,"East Kootenay"
"FERNIE EAST",2011-03-01,122,1213,24,"East Kootenay"
"BRENDA MINE",2011-03-01,108,1453,22,"Central Okanagan"
"MACDONALD LAKE",2011-03-01,145,1742,28,"Central Okanagan"
"ISLAHT LAKE",2011-03-01,109,1492,24,"Central Okanagan"
"MOUNT SHEBA",2011-03-01,265,1480,33,"Fraser-Fort George"
"BURNS LAKE",2011-03-02,71,820,20,"Bulkley-Nechako"
"GNAWED MOUNTAIN",2011-03-02,70,1617,21,"Thompson-Nicola"
"VERMILION RIVER NO.3",2011-03-02,104,1612,25,"East Kootenay"
"SANDON",2011-03-02,128,1072,32,"Central Kootenay"
"DUNCAN LAKE NO. 2",2011-03-02,101,662,32,"Bulkley-Nechako"
"TUTIZZI LAKE",2011-03-02,99,1043,26,"Peace River"
"FREDRICKSON LAKE",2011-03-02,86,1323,23,"Peace River"
"PHILIP LAKE",2011-03-02,99,1013,25,"Thompson-Nicola"
"MOUNT WELLS",2011-03-03,158,1489,28,"Bulkley-Nechako"
"HIGHLAND VALLEY",2011-03-03,59,1457,21,"Thompson-Nicola"
"MORRISSEY RIDGE",2011-03-03,222,1800,25,"East Kootenay"
"PINE PASS",2011-03-03,297,1439,34,"Peace River"
"WARE (LOWER)",2011-03-03,74,969,20,"Peace River"
"BLUEJOINT MOUNTAIN",2011-03-04,188,1990,30,"Kootenay Boundary"
"MOUNT TIMOTHY",2011-03-04,116,1632,28,"Cariboo"
"STAVE LAKE",2011-03-06,467,1211,39,"Fraser Valley"
"SUMALLO RIVER WEST",2011-03-06,114,801,24,"Fraser Valley"
"TERRACE AIRPORT",2011-03-07,91,219,28,"Kitimat-Stikine"
"SUMMIT LAKE",2011-03-07,73,1291,21,"Central Kootenay"
"SHOVELNOSE MOUNTAIN",2011-03-27,98,1456,30,"Thompson-Nicola"
"ANGLEMONT",2011-03-27,110,1168,36,"Columbia-Shuswap"
"SULLIVAN MINE",2011-03-27,113,1580,28,"East Kootenay"
"TROUT CREEK (WEST)",2011-03-27,86,1430,32,"Okanagan-Similkameen"
"BOULEAU LAKE",2011-03-27,96,1405,28,"North Okanagan"
"JADE CITY",2011-03-27,76,943,31,"Kitimat-Stikine"
"MCBRIDE (UPPER)",2011-03-28,148,1590,34,"Fraser-Fort George"
"PENFOLD CREEK",2011-03-28,273,1687,38,"Cowichan Valley"
"FERGUSON",2011-03-28,173,929,41,"Columbia-Shuswap"
"NINGUNSAW PASS",2011-03-28,109,647,23,"Kitimat-Stikine"
"NUTLI LAKE",2011-03-29,145,1502,34,"Bulkley-Nechako"
"FARRON",2011-03-29,113,1229,32,"Central Kootenay"
"SUMMERLAND RESERVOIR",2011-03-29,92,1304,33,"Okanagan-Similkameen"
"WHITEROCKS MOUNTAIN",2011-03-29,165,1789,33,"Central Okanagan"
"MOUNT KOBAU",2011-03-29,155,1817,26,"Okanagan-Similkameen"
"ESPERON CR (MIDDLE)",2011-03-29,106,1440,30,"Central Okanagan"
"KIDPRICE LAKE",2011-03-29,257,1415,38,"Bulkley-Nechako"
"BROOKMERE",2011-03-30,81,994,27,"Thompson-Nicola"
"HIGHLAND VALLEY",2011-03-30,61,1457,21,"Thompson-Nicola"
"GLACIER",2011-03-30,210,1249,37,"Columbia-Shuswap"
"KICKING HORSE",2011-03-30,121,1648,26,"Columbia-Shuswap"
"ISINTOK LAKE",2011-03-30,87,1651,19,"Okanagan-Similkameen"
"VASEUX CREEK",2011-03-30,52,1403,30,"Okanagan-Similkameen"
"HAMILTON HILL",2011-03-30,108,1477,27,"Okanagan-Similkameen"
"CALLAGHAN CREEK",2011-03-30,312,1009,41,"Squamish-Lillooet"
"DUFFEY LAKE",2011-03-31,187,1253,39,"Squamish-Lillooet"
"UPPER THELWOOD LAKE",2011-03-31,462,1014,50,"Strathcona"
"WOLF RIVER (MIDDLE)",2011-03-31,297,1050,36,"Strathcona"
"WOLF RIVER (LOWER)",2011-03-31,201,615,42,"Strathcona"
"WEDEENE RIVER SOUTH",2011-03-31,158,196,38,"Kitimat-Stikine"
"LIGHTNING LAKE",2011-03-31,110,1254,31,"Okanagan-Similkameen"
"CHAPMAN LAKE",2011-03-31,173,1485,32,"Sunshine Coast"
"MCKENDRICK CREEK",2011-03-31,105,1048,31,"Bulkley-Nechako"
"MOUNT CRONIN",2011-03-31,207,1491,35,"Bulkley-Nechako"
"FORT NELSON AIRPORT",2011-03-31,43,368,19,"Northern Rockies"
"KNOUFF LAKE",2011-04-01,49,1189,22,"Thompson-Nicola"
"BLUEJOINT MOUNTAIN",2011-04-01,243,1990,33,"Kootenay Boundary"
"LAC LE JEUNE (UPPER)",2011-04-01,71,1471,25,"Thompson-Nicola"
"WHATSHAN (UPPER)",2011-04-01,200,1476,36,"Central Kootenay"
"BEAR PASS",2011-04-01,165,437,33,"Kitimat-Stikine"
"LU LAKE",2011-04-01,109,1296,30,"Bulkley-Nechako"
"TAHTSA LAKE",2011-04-02,332,1319,40,"Bulkley-Nechako"
"GRAYSTOKE LAKE",2011-04-02,124,1818,27,"Central Okanagan"
"MCGILLIVRAY PASS",2011-04-03,178,1715,35,"Squamish-Lillooet"
"BRALORNE",2011-04-03,70,1382,29,"Squamish-Lillooet"
"BRALORNE (UPPER)",2011-04-03,214,1980,35,"Squamish-Lillooet"
"DOWNTOWN LAKE (UPPER)",2011-04-03,257,1884,38,"Squamish-Lillooet"
"BRIDGE GLACIER (LOWER)",2011-04-03,210,1393,36,"Squamish-Lillooet"
"TYAUGHTON CREEK (NORTH)",2011-04-03,162,1946,32,"Squamish-Lillooet"
"GOLDSTREAM",2011-04-03,326,1914,38,"Capital"
"KEYSTONE CREEK",2011-04-03,258,1839,35,"Columbia-Shuswap"
"SUNBEAM LAKE",2011-04-03,290,2066,35,"Columbia-Shuswap"
"BUSH RIVER",2011-04-03,228,1982,34,"Columbia-Shuswap"
"KIRBYVILLE LAKE",2011-04-03,320,1739,39,"Columbia-Shuswap"
"DOWNIE SLIDE (UPPER)",2011-04-03,340,1628,38,"Columbia-Shuswap"
"HEDRICK LAKE",2011-04-05,231,1113,39,"Fraser-Fort George"
"KNUDSEN LAKE",2011-04-05,241,1598,38,"Fraser-Fort George"
"GRAY CREEK (LOWER)",2011-04-05,203,1558,33,"Central Kootenay"
"GRAY CREEK (UPPER)",2011-04-05,290,1926,33,"Central Kootenay"
"DOG MOUNTAIN",2011-04-05,393,1007,40,"Greater Vancouver"
"MORFEE MOUNTAIN",2011-04-05,246,1427,38,"Fraser-Fort George"
"KAZA LAKE",2011-04-06,126,1247,29,"Kitimat-Stikine"
"GERMANSEN (UPPER)",2011-04-06,127,1489,31,"Bulkley-Nechako"
"TRYGVE LAKE",2011-04-06,120,1409,29,"Peace River"
"TSAYDAYCHI LAKE",2011-04-06,136,1173,32,"Bulkley-Nechako"
"JOHANSON LAKE",2011-04-06,110,1480,25,"Kitimat-Stikine"
"STAVE LAKE",2011-04-07,523,1211,40,"Fraser Valley"
"BEAVERFOOT",2011-04-07,91,1924,28,"Columbia-Shuswap"
"VERMONT CREEK",2011-04-07,161,1533,35,"Columbia-Shuswap"
"KIMBERLEY (UPPER) VOR",2011-04-07,190,2148,28,"Central Kootenay"
"KIMBERLEY (MIDDLE) VOR",2011-04-07,129,1692,29,"Central Kootenay"
"FLOE LAKE",2011-04-07,272,2087,34,"East Kootenay"
"MOUNT ASSINIBOINE",2011-04-07,206,2230,30,"East Kootenay"
"THUNDER CREEK",2011-04-07,121,2062,28,"East Kootenay"
"POWELL RIVER (UPPER)",2011-04-07,411,1002,39,"Powell River"
"POWELL RIVER (LOWER)",2011-04-07,311,882,40,"Powell River"
"ORCHID LAKE",2011-04-07,649,1178,41,"Greater Vancouver"
"KLESILKWA",2011-04-07,121,1134,30,"Fraser Valley"
"WARE (UPPER)",2011-04-07,100,1563,26,"Peace River"
"LADY LAURIER LAKE",2011-04-07,163,1446,32,"Peace River"
"PULPIT LAKE",2011-04-07,136,1331,30,"Peace River"
"SIKANNI LAKE",2011-04-07,95,1390,27,"Peace River"
"PALISADE LAKE",2011-04-08,508,898,39,"Greater Vancouver"
"SHOVELNOSE MOUNTAIN",2011-04-25,94,1456,32,"Thompson-Nicola"
"LONGWORTH (UPPER)",2011-04-26,225,1693,44,"Fraser-Fort George"
"HIGHLAND VALLEY",2011-04-26,53,1457,20,"Thompson-Nicola"
"MONKMAN CREEK",2011-04-26,204,1566,40,"Fraser-Fort George"
"ABERDEEN LAKE",2011-04-27,53,1262,31,"North Okanagan"
"DOME MOUNTAIN",2011-04-28,225,1766,38,"Fraser-Fort George"
"FIDELITY MOUNTAIN",2011-04-28,331,1852,46,"Columbia-Shuswap"
"RECORD MOUNTAIN",2011-04-28,282,1906,35,"Kootenay Boundary"
"OYAMA LAKE",2011-04-28,64,1365,28,"Central Okanagan"
"MOUNT COKELY",2011-04-28,359,1267,41,"Nanaimo"
"MOUNT STEARNS",2011-04-28,77,1514,27,"Peace River"
"EQUITY MINE",2011-04-28,152,1434,34,"Bulkley-Nechako"
"LU LAKE",2011-04-28,133,1296,32,"Bulkley-Nechako"
"SINCLAIR PASS",2011-04-29,59,1374,22,"East Kootenay"
"TROUT CREEK",2011-04-29,90,1428,30,"Okanagan-Similkameen"
"POSTILL LAKE",2011-04-29,82,1358,28,"Central Okanagan"
"ESPERON CR (UPPER)",2011-04-29,128,1634,33,"Central Okanagan"
"FORBIDDEN PLATEAU",2011-04-29,585,1110,49,"Comox Valley"
"HUDSON BAY MTN.",2011-04-29,171,1452,36,"Bulkley-Nechako"
"TACHEK CREEK",2011-04-29,94,1133,30,"Bulkley-Nechako"
"NINGUNSAW PASS",2011-04-29,70,647,42,"Kitimat-Stikine"
"BIG WHITE MOUNTAIN",2011-04-30,190,1672,34,"Kootenay Boundary"
"MOUNT SWANNELL",2011-04-30,112,1596,31,"Bulkley-Nechako"
"MOUNT ABBOT",2011-04-30,338,2031,43,"Columbia-Shuswap"
"JADE CITY",2011-04-30,55,943,29,"Kitimat-Stikine"
"MONASHEE PASS",2011-05-01,121,1387,36,"North Okanagan"
"MCGILLIVRAY PASS",2011-05-01,158,1715,42,"Squamish-Lillooet"
"ENDERBY",2011-05-01,324,1948,37,"North Okanagan"
"BARNES CREEK",2011-05-01,177,1598,37,"North Okanagan"
